encoder,dataset,class_idx,class_name,probe_acc,prototype_acc,gap_pp
resnet18,FGVC-Aircraft,74,Falcon 2000,52.9,26.5,26.4
dinov2,FGVC-Aircraft,65,E-190,58.8,32.4,26.4
resnet18,DTD,31,porous,45.0,20.0,25.0
resnet18,FGVC-Aircraft,36,An-12,66.7,42.4,24.300000000000004
dinov2,FGVC-Aircraft,40,Beechcraft 1900,87.9,63.6,24.300000000000004
resnet18,FGVC-Aircraft,94,Saab 340,48.5,24.2,24.3
resnet18,FGVC-Aircraft,88,MD-90,27.3,3.0,24.3
dinov2,FGVC-Aircraft,30,A340-300,45.5,21.2,24.3
dinov2,FGVC-Aircraft,93,Saab 2000,75.8,51.5,24.299999999999997
dinov2,FGVC-Aircraft,10,747-100,36.4,12.1,24.299999999999997
resnet18,FGVC-Aircraft,76,Fokker 100,30.3,6.1,24.200000000000003
resnet18,FGVC-Aircraft,99,Yak-42,30.3,6.1,24.200000000000003
resnet18,FGVC-Aircraft,51,Challenger 600,51.5,27.3,24.2
dinov2,FGVC-Aircraft,42,C-130,84.8,60.6,24.199999999999996
resnet18,FGVC-Aircraft,29,A340-200,26.5,2.9,23.6
dinov2,FGVC-Aircraft,83,Il-76,97.1,73.5,23.599999999999994
dinov2,FGVC-Aircraft,35,ATR-72,73.5,50.0,23.5
dinov2,FGVC-Aircraft,17,767-300,29.4,5.9,23.5
resnet18,FGVC-Aircraft,77,Fokker 50,44.1,20.6,23.5
resnet18,FGVC-Aircraft,7,737-700,27.3,6.1,21.200000000000003
dinov2,FGVC-Aircraft,91,PA-28,90.9,69.7,21.200000000000003
dinov2,FGVC-Aircraft,3,737-300,27.3,6.1,21.200000000000003
dinov2,FGVC-Aircraft,72,F-16A/B,100.0,78.8,21.200000000000003
dinov2,FGVC-Aircraft,73,F/A-18,90.9,69.7,21.200000000000003
dinov2,FGVC-Aircraft,13,747-400,36.4,15.2,21.2
dinov2,FGVC-Aircraft,12,747-300,39.4,18.2,21.2
resnet18,FGVC-Aircraft,97,Tu-134,39.4,18.2,21.2
resnet18,FGVC-Aircraft,93,Saab 2000,39.4,18.2,21.2
