encoder,dataset,true_class,predicted_as,rate_pct
dinov2,FGVC-Aircraft,767-300,A330-200,2.9
dinov2,FGVC-Aircraft,767-300,A321,2.9
dinov2,FGVC-Aircraft,767-300,A300B4,2.9
dinov2,FGVC-Aircraft,767-300,777-300,2.9
dinov2,FGVC-Aircraft,767-300,757-200,2.9
dinov2,FGVC-Aircraft,767-300,737-800,2.9
dinov2,FGVC-Aircraft,Tu-154,MD-90,2.9
dinov2,FGVC-Aircraft,Tu-154,CRJ-900,2.9
dinov2,FGVC-Aircraft,Tu-154,727-200,2.9
dinov2,FGVC-Aircraft,Spitfire,DC-3,2.9
dinov2,FGVC-Aircraft,Spitfire,C-47,2.9
dinov2,FGVC-Aircraft,Spitfire,A310,2.9
dinov2,FGVC-Aircraft,777-300,767-300,2.9
dinov2,FGVC-Aircraft,Metroliner,Saab 2000,2.9
dinov2,FGVC-Aircraft,Metroliner,Model B200,2.9
dinov2,FGVC-Aircraft,Metroliner,Gulfstream V,2.9
dinov2,FGVC-Aircraft,Metroliner,ERJ 135,2.9
dinov2,FGVC-Aircraft,Metroliner,EMB-120,2.9
dinov2,FGVC-Aircraft,Metroliner,Cessna 560,2.9
dinov2,FGVC-Aircraft,Metroliner,Beechcraft 1900,2.9
resnet18,DTD,studded,braided,2.5
resnet18,DTD,striped,zigzagged,2.5
resnet18,DTD,striped,woven,2.5
resnet18,DTD,striped,veined,2.5
resnet18,DTD,striped,smeared,2.5
resnet18,DTD,waffled,crosshatched,2.5
resnet18,DTD,veined,wrinkled,2.5
resnet18,DTD,veined,swirly,2.5
resnet18,DTD,veined,stratified,2.5
resnet18,DTD,veined,stained,2.5
resnet18,DTD,veined,smeared,2.5
resnet18,DTD,veined,meshed,2.5
resnet18,DTD,veined,blotchy,2.5
resnet18,DTD,swirly,polka-dotted,2.5
resnet18,DTD,woven,zigzagged,2.5
resnet18,DTD,woven,spiralled,2.5
resnet18,DTD,stratified,veined,2.5
resnet18,DTD,stratified,porous,2.5
resnet18,DTD,stratified,paisley,2.5
resnet18,DTD,stratified,frilly,2.5
resnet18,DTD,stained,swirly,2.5
resnet18,DTD,stained,spiralled,2.5
resnet18,DTD,studded,wrinkled,2.5
resnet18,DTD,studded,stained,2.5
resnet18,DTD,studded,sprinkled,2.5
resnet18,DTD,studded,interlaced,2.5
resnet18,DTD,studded,honeycombed,2.5
resnet18,DTD,smeared,matted,2.5
resnet18,DTD,smeared,marbled,2.5
resnet18,DTD,stained,scaly,2.5
resnet18,DTD,stained,crystalline,2.5
resnet18,DTD,stained,cracked,2.5
resnet18,DTD,sprinkled,spiralled,2.5
resnet18,DTD,sprinkled,perforated,2.5
resnet18,DTD,sprinkled,marbled,2.5
resnet18,DTD,sprinkled,knitted,2.5
resnet18,DTD,sprinkled,freckled,2.5
resnet18,DTD,sprinkled,flecked,2.5
resnet18,DTD,sprinkled,bumpy,2.5
resnet18,DTD,striped,interlaced,2.5
resnet18,DTD,striped,grooved,2.5
resnet18,DTD,striped,crosshatched,2.5
resnet18,DTD,scaly,flecked,2.5
resnet18,DTD,scaly,braided,2.5
resnet18,DTD,potholed,stained,2.5
resnet18,DTD,spiralled,veined,2.5
resnet18,DTD,spiralled,interlaced,2.5
resnet18,DTD,spiralled,fibrous,2.5
resnet18,DTD,spiralled,cracked,2.5
resnet18,DTD,spiralled,bumpy,2.5
resnet18,DTD,spiralled,blotchy,2.5
resnet18,DTD,smeared,paisley,2.5
resnet18,DTD,porous,perforated,2.5
resnet18,DTD,porous,interlaced,2.5
resnet18,DTD,porous,honeycombed,2.5
resnet18,DTD,porous,crystalline,2.5
resnet18,DTD,porous,cracked,2.5
resnet18,DTD,smeared,flecked,2.5
resnet18,DTD,smeared,bumpy,2.5
resnet18,DTD,smeared,braided,2.5
resnet18,DTD,scaly,swirly,2.5
resnet18,DTD,scaly,perforated,2.5
resnet18,DTD,scaly,meshed,2.5
resnet18,DTD,scaly,frilly,2.5
resnet18,DTD,pleated,knitted,2.5
resnet18,DTD,pleated,crystalline,2.5
resnet18,DTD,pleated,crosshatched,2.5
resnet18,DTD,potholed,porous,2.5
resnet18,DTD,potholed,cracked,2.5
resnet18,DTD,porous,wrinkled,2.5
resnet18,DTD,porous,waffled,2.5
resnet18,DTD,porous,stained,2.5
resnet18,DTD,porous,sprinkled,2.5
resnet18,DTD,porous,scaly,2.5
resnet18,DTD,porous,potholed,2.5
resnet18,DTD,pitted,perforated,2.5
resnet18,DTD,pitted,interlaced,2.5
resnet18,DTD,pitted,frilly,2.5
resnet18,DTD,pitted,crystalline,2.5
resnet18,DTD,perforated,studded,2.5
resnet18,DTD,perforated,porous,2.5
resnet18,DTD,perforated,polka-dotted,2.5
resnet18,DTD,porous,blotchy,2.5
resnet18,DTD,polka-dotted,studded,2.5
resnet18,DTD,polka-dotted,honeycombed,2.5
resnet18,DTD,pleated,wrinkled,2.5
resnet18,DTD,pleated,swirly,2.5
resnet18,DTD,pleated,spiralled,2.5
resnet18,DTD,pleated,scaly,2.5
resnet18,DTD,marbled,wrinkled,2.5
resnet18,DTD,banded,flecked,2.5
resnet18,DTD,banded,lined,2.5
resnet18,DTD,banded,porous,2.5
resnet18,DTD,perforated,meshed,2.5
resnet18,DTD,perforated,grooved,2.5
resnet18,DTD,perforated,bubbly,2.5
resnet18,DTD,paisley,dotted,2.5
resnet18,DTD,meshed,lined,2.5
resnet18,DTD,meshed,lacelike,2.5
resnet18,DTD,meshed,knitted,2.5
resnet18,DTD,meshed,interlaced,2.5
resnet18,DTD,pleated,blotchy,2.5
resnet18,DTD,pitted,woven,2.5
resnet18,DTD,pitted,stained,2.5
resnet18,DTD,pitted,sprinkled,2.5
resnet18,DTD,marbled,bumpy,2.5
resnet18,DTD,marbled,blotchy,2.5
resnet18,DTD,lined,swirly,2.5
resnet18,DTD,lined,pleated,2.5
resnet18,DTD,banded,striped,2.5
resnet18,DTD,blotchy,bubbly,2.5
resnet18,DTD,blotchy,flecked,2.5
resnet18,DTD,matted,wrinkled,2.5
resnet18,DTD,matted,woven,2.5
resnet18,DTD,matted,striped,2.5
resnet18,DTD,matted,scaly,2.5
resnet18,DTD,matted,knitted,2.5
resnet18,DTD,matted,interlaced,2.5
resnet18,DTD,matted,chequered,2.5
resnet18,DTD,matted,braided,2.5
resnet18,DTD,matted,blotchy,2.5
resnet18,DTD,lacelike,zigzagged,2.5
resnet18,DTD,lacelike,swirly,2.5
resnet18,DTD,lacelike,pitted,2.5
resnet18,DTD,lacelike,gauzy,2.5
resnet18,DTD,lacelike,flecked,2.5
resnet18,DTD,lacelike,dotted,2.5
resnet18,DTD,lacelike,cobwebbed,2.5
resnet18,DTD,lacelike,bumpy,2.5
resnet18,DTD,blotchy,grooved,2.5
resnet18,DTD,marbled,swirly,2.5
resnet18,DTD,marbled,sprinkled,2.5
resnet18,DTD,marbled,pitted,2.5
resnet18,DTD,marbled,matted,2.5
resnet18,DTD,marbled,interlaced,2.5
resnet18,DTD,marbled,cracked,2.5
resnet18,DTD,marbled,cobwebbed,2.5
resnet18,DTD,knitted,gauzy,2.5
resnet18,DTD,knitted,braided,2.5
resnet18,DTD,interlaced,striped,2.5
resnet18,DTD,interlaced,spiralled,2.5
resnet18,DTD,interlaced,scaly,2.5
resnet18,DTD,interlaced,paisley,2.5
resnet18,DTD,interlaced,meshed,2.5
resnet18,DTD,interlaced,knitted,2.5
resnet18,DTD,interlaced,chequered,2.5
resnet18,DTD,bubbly,swirly,2.5
resnet18,DTD,bubbly,bumpy,2.5
resnet18,DTD,bubbly,blotchy,2.5
resnet18,DTD,braided,wrinkled,2.5
resnet18,DTD,lined,meshed,2.5
resnet18,DTD,lined,crosshatched,2.5
resnet18,DTD,lined,cobwebbed,2.5
resnet18,DTD,honeycombed,frilly,2.5
resnet18,DTD,honeycombed,dotted,2.5
resnet18,DTD,honeycombed,bumpy,2.5
resnet18,DTD,grooved,waffled,2.5
resnet18,DTD,grooved,veined,2.5
resnet18,DTD,grooved,grid,2.5
resnet18,DTD,grooved,gauzy,2.5
resnet18,DTD,grooved,crosshatched,2.5
resnet18,DTD,grid,perforated,2.5
resnet18,DTD,braided,spiralled,2.5
resnet18,DTD,braided,scaly,2.5
resnet18,DTD,knitted,waffled,2.5
resnet18,DTD,knitted,scaly,2.5
resnet18,DTD,knitted,porous,2.5
resnet18,DTD,knitted,matted,2.5
resnet18,DTD,knitted,grooved,2.5
resnet18,DTD,braided,porous,2.5
resnet18,DTD,braided,honeycombed,2.5
resnet18,DTD,grid,knitted,2.5
resnet18,DTD,grid,honeycombed,2.5
resnet18,DTD,grid,crosshatched,2.5
resnet18,DTD,grid,bubbly,2.5
resnet18,DTD,gauzy,smeared,2.5
resnet18,DTD,gauzy,pleated,2.5
resnet18,DTD,gauzy,crystalline,2.5
resnet18,DTD,gauzy,braided,2.5
resnet18,DTD,frilly,woven,2.5
resnet18,DTD,frilly,veined,2.5
resnet18,DTD,honeycombed,spiralled,2.5
resnet18,DTD,honeycombed,scaly,2.5
resnet18,DTD,honeycombed,pleated,2.5
resnet18,DTD,honeycombed,grid,2.5
resnet18,DTD,frilly,pleated,2.5
resnet18,DTD,frilly,matted,2.5
resnet18,DTD,frilly,knitted,2.5
resnet18,DTD,frilly,crystalline,2.5
resnet18,DTD,frilly,bumpy,2.5
resnet18,DTD,freckled,veined,2.5
resnet18,DTD,freckled,sprinkled,2.5
resnet18,DTD,freckled,scaly,2.5
resnet18,DTD,freckled,matted,2.5
resnet18,DTD,freckled,flecked,2.5
resnet18,DTD,freckled,bubbly,2.5
resnet18,DTD,flecked,wrinkled,2.5
resnet18,DTD,braided,fibrous,2.5
resnet18,DTD,braided,chequered,2.5
resnet18,DTD,bumpy,matted,2.5
resnet18,DTD,bumpy,knitted,2.5
resnet18,DTD,flecked,spiralled,2.5
resnet18,DTD,flecked,scaly,2.5
resnet18,DTD,flecked,perforated,2.5
resnet18,DTD,flecked,knitted,2.5
resnet18,DTD,flecked,frilly,2.5
resnet18,DTD,flecked,dotted,2.5
resnet18,DTD,flecked,blotchy,2.5
resnet18,DTD,fibrous,veined,2.5
resnet18,DTD,fibrous,stained,2.5
resnet18,DTD,fibrous,marbled,2.5
resnet18,DTD,bumpy,frilly,2.5
resnet18,DTD,bumpy,flecked,2.5
resnet18,DTD,bumpy,cracked,2.5
resnet18,DTD,blotchy,pitted,2.5
resnet18,DTD,frilly,stained,2.5
resnet18,DTD,frilly,scaly,2.5
resnet18,DTD,cobwebbed,veined,2.5
resnet18,DTD,cobwebbed,stained,2.5
resnet18,DTD,blotchy,polka-dotted,2.5
resnet18,DTD,fibrous,gauzy,2.5
resnet18,DTD,fibrous,braided,2.5
resnet18,DTD,dotted,studded,2.5
resnet18,DTD,dotted,sprinkled,2.5
resnet18,DTD,dotted,perforated,2.5
resnet18,DTD,dotted,bumpy,2.5
resnet18,DTD,crystalline,marbled,2.5
resnet18,DTD,crosshatched,stratified,2.5
resnet18,DTD,crosshatched,meshed,2.5
resnet18,DTD,crosshatched,interlaced,2.5
resnet18,DTD,flecked,woven,2.5
resnet18,DTD,flecked,stained,2.5
resnet18,DTD,flecked,sprinkled,2.5
resnet18,DTD,chequered,lined,2.5
resnet18,DTD,chequered,gauzy,2.5
resnet18,DTD,chequered,crosshatched,2.5
resnet18,DTD,bumpy,veined,2.5
resnet18,DTD,bumpy,stratified,2.5
resnet18,DTD,bumpy,porous,2.5
resnet18,DTD,bumpy,polka-dotted,2.5
resnet18,DTD,bumpy,pleated,2.5
resnet18,DTD,crosshatched,cobwebbed,2.5
resnet18,DTD,crosshatched,bumpy,2.5
resnet18,DTD,cracked,stratified,2.5
resnet18,DTD,cracked,stained,2.5
resnet18,DTD,cracked,sprinkled,2.5
resnet18,DTD,cracked,scaly,2.5
resnet18,DTD,cracked,marbled,2.5
resnet18,DTD,cracked,crystalline,2.5
resnet18,DTD,blotchy,interlaced,2.5
resnet18,DTD,zigzagged,wrinkled,2.5
resnet18,DTD,zigzagged,swirly,2.5
resnet18,DTD,zigzagged,stained,2.5
resnet18,DTD,zigzagged,lacelike,2.5
resnet18,DTD,zigzagged,interlaced,2.5
resnet18,DTD,zigzagged,honeycombed,2.5
resnet18,DTD,wrinkled,stained,2.5
resnet18,DTD,wrinkled,spiralled,2.5
resnet18,DTD,wrinkled,smeared,2.5
resnet18,DTD,wrinkled,matted,2.5
resnet18,DTD,wrinkled,marbled,2.5
resnet18,DTD,wrinkled,gauzy,2.5
resnet18,DTD,wrinkled,frilly,2.5
resnet18,DTD,wrinkled,crystalline,2.5
resnet18,DTD,woven,interlaced,2.5
resnet18,DTD,chequered,perforated,2.5
resnet18,DTD,bubbly,polka-dotted,2.5
resnet18,DTD,bubbly,matted,2.5
resnet18,DTD,bubbly,dotted,2.5
resnet18,DTD,woven,grooved,2.5
resnet18,DTD,woven,flecked,2.5
resnet18,DTD,woven,dotted,2.5
resnet18,DTD,woven,crosshatched,2.5
resnet18,DTD,woven,chequered,2.5
resnet18,DTD,waffled,meshed,2.5
resnet18,DTD,waffled,grooved,2.5
resnet18,DTD,cobwebbed,marbled,2.5
resnet18,DTD,cobwebbed,interlaced,2.5
resnet18,DTD,cobwebbed,cracked,2.5
resnet18,DTD,chequered,woven,2.5
resnet18,DTD,bubbly,smeared,2.5
