encoder,dataset,baseline,strategy1,delta_pp,delta_std
dinov2,FGVC-Aircraft,51.535151402155556,54.125410318374634,2.5902589162190757,1.0609065342085424
resnet18,DTD,52.03900535901388,52.14538971583048,0.1063843568166097,0.2814646741552137
resnet18,FGVC-Aircraft,27.872785925865173,28.972896933555603,1.1001110076904297,1.0290345351373094
