encoder,dataset,train_acc,val_acc,test_acc,ce_train,ce_val,ce_ratio
dinov2,FGVC-Aircraft,1.0,0.521052082379659,0.5153515140215555,0.005184724150846402,2.304426431655884,449.2657581521507
resnet18,DTD,0.9843971331914266,0.5152481993039449,0.5203900535901388,0.326646367708842,1.823387344678243,7.2216869500708745
resnet18,FGVC-Aircraft,1.0,0.27672765652338666,0.27872785925865173,0.030705857401092846,3.572900136311849,122.43747117383184
