encoder,dataset,baseline,strategy1,delta_pp,delta_std,best_epoch,rel_disp
dinov2,FGVC-Aircraft,51.535151402155556,52.10521022478739,0.5700588226318359,1.1113252793327877,19.0,0.22111472183048178
resnet18,DTD,52.03900535901388,51.52482191721598,-0.5141834417978922,0.39923219655206477,0.6666666666666666,0.07637330895816781
resnet18,FGVC-Aircraft,27.872785925865173,28.272825479507446,0.40003955364227295,0.7051225054192144,8.0,0.0841401509198502
