encoder,dataset,seed,train_acc,val_acc,test_acc,ce_train,ce_val,n_train,ce_ratio
resnet18,DTD,0,0.963829755783081,0.5058510303497314,0.5117021203041077,0.5941947102546692,1.9154555797576904,470,3.2236160078515925
resnet18,DTD,1,0.9957446455955505,0.5143616795539856,0.5159574151039124,0.18806874752044678,1.7759355306625366,470,9.443012483876181
resnet18,DTD,2,0.9936169981956482,0.5255318880081177,0.5335106253623962,0.1976756453514099,1.778770923614502,470,8.998432358484848
dinov2,FGVC-Aircraft,0,1.0,0.5250524878501892,0.5319531559944153,0.004540871363133192,2.3615224361419678,1000,520.0593118129033
dinov2,FGVC-Aircraft,1,1.0,0.5295529365539551,0.5160515904426575,0.005683224648237228,2.2506141662597656,1000,396.01006568653605
dinov2,FGVC-Aircraft,2,1.0,0.5085508227348328,0.498049795627594,0.005330076441168785,2.301142692565918,1000,431.72789695701266
resnet18,FGVC-Aircraft,0,1.0,0.264026403427124,0.2670266926288605,0.022229483351111412,3.6699349880218506,1000,165.09313014863048
resnet18,FGVC-Aircraft,1,1.0,0.2880287766456604,0.2931292951107025,0.03644539788365364,3.471431255340576,1000,95.25019500192012
resnet18,FGVC-Aircraft,2,1.0,0.2781277894973755,0.2760275900363922,0.03344269096851349,3.57733416557312,1000,106.9690883709449
