config,lr,encoder,dataset,delta_pp,best_epoch,rel_disp
main,0.001,dinov2,FGVC-Aircraft,0.5700588226318359,19.0,0.22111472183048178
lr=0.0001,0.0001,dinov2,FGVC-Aircraft,2.5902589162190757,56.666666666666664,0.6277934819558623
lr=1e-05,1e-05,dinov2,FGVC-Aircraft,2.2102216879526773,194.33333333333334,0.25620899349056764
main,0.001,resnet18,DTD,-0.5141834417978922,0.6666666666666666,0.07637330895816781
lr=0.0001,0.0001,resnet18,DTD,0.1063843568166097,4.0,0.02577295960570308
lr=1e-05,1e-05,resnet18,DTD,0.31914710998535156,38.0,0.035332064769717605
main,0.001,resnet18,FGVC-Aircraft,0.40003955364227295,8.0,0.0841401509198502
lr=0.0001,0.0001,resnet18,FGVC-Aircraft,1.1001110076904297,23.333333333333332,0.20493508564138438
lr=1e-05,1e-05,resnet18,FGVC-Aircraft,1.0901083548863728,159.66666666666666,0.20050362181524276
