encoder,dataset,baseline,strategy1,strategy1_delta,strategy1_std,strategy2,strategy2_delta,strategy2_std,difference
resnet18,DTD,52.03900535901388,52.14538971583048,0.1063843568166097,0.2814646741552137,53.06737422943115,1.028368870417277,0.7528688193497766,0.9219845136006674
dinov2,FGVC-Aircraft,51.535151402155556,54.125410318374634,2.5902589162190757,1.0609065342085424,52.845283349355064,1.3101319471995037,0.6548149935088202,-1.280126969019572
resnet18,FGVC-Aircraft,27.872785925865173,28.972896933555603,1.1001110076904297,1.0290345351373094,29.722970724105835,1.8501847982406616,0.9992989142077364,0.7500737905502319
