encoder,dataset,seed,raw_acc,l2_normalized_acc,cost_pp,mean_feature_norm
resnet18,DTD,0,0.5117021203041077,0.4414893686771393,-7.021275162696838,23.749296188354492
resnet18,DTD,1,0.5159574747085571,0.48085105419158936,-3.5106420516967773,23.749296188354492
resnet18,DTD,2,0.5335106253623962,0.5042552947998047,-2.9255330562591553,23.749296188354492
dinov2,FGVC-Aircraft,0,0.5319532155990601,0.4764476418495178,-5.550557374954224,49.67098617553711
dinov2,FGVC-Aircraft,1,0.5160515904426575,0.4551455080509186,-6.090608239173889,49.67098617553711
dinov2,FGVC-Aircraft,2,0.498049795627594,0.4542454183101654,-4.380437731742859,49.67098617553711
resnet18,FGVC-Aircraft,0,0.2670266926288605,0.23702369630336761,-3.000299632549286,28.87245750427246
resnet18,FGVC-Aircraft,1,0.2931293249130249,0.2538253962993622,-3.930392861366272,28.87245750427246
resnet18,FGVC-Aircraft,2,0.2760275900363922,0.24242424964904785,-3.360334038734436,28.87245750427246
