encoder,dataset,mean_feature_norm,raw_acc,l2_normalized_acc,cost_pp
dinov2,FGVC-Aircraft,49.67098617553711,0.5153515338897705,0.46194618940353394,-5.340534448623657
resnet18,DTD,23.749296188354492,0.5203900734583536,0.4755319058895111,-4.485816756884257
resnet18,FGVC-Aircraft,28.87245750427246,0.2787278691927592,0.24442444741725922,-3.430342177549998
