encoder,dataset,seed,stage1_test_acc,rederived_test_acc,abs_delta_pp,predictions_identical,n_predictions_differing,best_epoch,n_train
resnet18,DTD,0,0.5117021203041077,0.5117021203041077,0.0,True,0,14,470
resnet18,DTD,1,0.5159574151039124,0.5159574151039124,0.0,True,0,37,470
resnet18,DTD,2,0.5335106253623962,0.5335106253623962,0.0,True,0,32,470
dinov2,FGVC-Aircraft,0,0.5319531559944153,0.5319531559944153,0.0,True,0,197,1000
dinov2,FGVC-Aircraft,1,0.5160515904426575,0.5160515904426575,0.0,True,0,178,1000
dinov2,FGVC-Aircraft,2,0.498049795627594,0.498049795627594,0.0,True,0,187,1000
resnet18,FGVC-Aircraft,0,0.2670266926288605,0.2670266926288605,0.0,True,0,198,1000
resnet18,FGVC-Aircraft,1,0.2931292951107025,0.2931292951107025,0.0,True,0,157,1000
resnet18,FGVC-Aircraft,2,0.2760275900363922,0.2760275900363922,0.0,True,0,161,1000
