encoder,dataset,strategy,d_accuracy_pp,margin_ratio,d_separability
resnet18,DTD,Strategy 1,-1.2499988079071045,0.9972891329965182,0.0046293288469314575
resnet18,DTD,Strategy 2,-0.41666626930236816,1.9179636827960604,0.04449039697647095
dinov2,FGVC-Aircraft,Strategy 1,1.0050296783447266,1.5796418586607603,-0.07392868399620056
dinov2,FGVC-Aircraft,Strategy 2,1.5075385570526123,1.6359964312624513,0.00588187575340271
resnet18,FGVC-Aircraft,Strategy 1,2.010050415992737,1.454134482078895,0.04294111579656601
resnet18,FGVC-Aircraft,Strategy 2,3.5175859928131104,1.6227447288492154,0.010301303118467331
