encoder,dataset,probe,s1,s1_delta,s2,s2_delta
resnet18,DTD,51.17021203041077,51.06382966041565,-0.10638236999511719,51.914894580841064,0.7446825504302979
dinov2,FGVC-Aircraft,53.19531559944153,54.57545518875122,1.3801395893096924,54.515451192855835,1.3201355934143066
resnet18,FGVC-Aircraft,26.702669262886047,28.982898592948914,2.280229330062866,29.67296540737152,2.9702961444854736
