encoder,dataset,panel,accuracy,logit_margin,margin_correct,displacement,own_sim,other_sim,separability
resnet18,DTD,Original $z$,65.83333611488342,1.3204692602157593,1.6582967042922974,0.0,0.7687433362007141,0.5751773715019226,0.19356600940227509
resnet18,DTD,Strategy 1 $\hat z$,64.58333730697632,1.3168896436691284,1.6741288900375366,0.5386179685592651,0.7681453824043274,0.5699501037597656,0.19819533824920654
resnet18,DTD,Strategy 2 $\hat z$,65.41666984558105,2.5326120853424072,3.280974864959717,4.4555583000183105,0.755645751953125,0.5175893306732178,0.23805640637874603
dinov2,FGVC-Aircraft,Original $z$,53.26632857322693,2.3962528705596924,3.2593977451324463,0.0,0.7446575164794922,0.33074408769607544,0.41391339898109436
dinov2,FGVC-Aircraft,Strategy 1 $\hat z$,54.271358251571655,3.7852213382720947,5.160655498504639,34.93906021118164,0.8174829483032227,0.4774981737136841,0.3399847149848938
dinov2,FGVC-Aircraft,Strategy 2 $\hat z$,54.77386713027954,3.9202611446380615,5.4973835945129395,4.602198600769043,0.7404918670654297,0.3206965923309326,0.41979527473449707
resnet18,FGVC-Aircraft,Original $z$,23.115578293800354,1.2766348123550415,2.460930824279785,0.0,0.8999497890472412,0.8635811805725098,0.036368586122989655
resnet18,FGVC-Aircraft,Strategy 1 $\hat z$,25.12562870979309,1.8563987016677856,3.1793761253356934,9.81449031829834,0.8984899520874023,0.8191801905632019,0.07930970191955566
resnet18,FGVC-Aircraft,Strategy 2 $\hat z$,26.633164286613464,2.071652412414551,4.111771106719971,3.222938060760498,0.8843322396278381,0.8376622796058655,0.046669889241456985
