encoder,dataset,probe,frozen_s1,frozen_s2,clf_only,clf_only_std,joint,joint_std,flow_contribution
resnet18,DTD,52.03900535901388,0.1063843568166097,1.2056748072306316,0.0177303949991862,0.17098573722660768,0.23049712181091309,0.267725856629296,0.2127667268117269
dinov2,FGVC-Aircraft,51.535151402155556,2.5902589162190757,2.190220355987549,0.6500661373138428,0.39157323654335024,2.5302529335021973,0.916606743281711,1.8801867961883545
resnet18,FGVC-Aircraft,27.872785925865173,1.1001110076904297,2.0502050717671714,-0.010000665982564291,0.12125679305294546,0.9700973828633627,0.9278319083276595,0.980098048845927
