encoder,dataset,frozen,unfrozen,difference
resnet18,DTD,0.1063843568166097,0.23049712181091309,0.12411276499430339
dinov2,FGVC-Aircraft,2.5902589162190757,2.5302529335021973,-0.0600059827168784
resnet18,FGVC-Aircraft,1.1001110076904297,0.9700973828633627,-0.13001362482706702
