config,delta_pp,delta_std,drift,best_epoch,n
clf_only,0.21926528877682155,0.39224411262513403,0.10408300689111154,62.333333333333336,9
joint,1.243615812725491,1.215288283404525,0.03908130671415064,31.77777777777778,9
clf_lr=1e-5,1.2310385704040527,1.1982670602078778,0.004670286835688684,24.77777777777778,9
clf_lr=1e-3,1.2040634950002034,1.3079930670605528,0.21425128645367092,45.888888888888886,9
delayed=50,1.2355817688835993,1.266812654305484,0.004105579107999802,25.22222222222222,9
