encoder,dataset,probe,frozen_s1,frozen_s2,clf_only,joint
resnet18,DTD,52.03900535901388,0.1063843568166097,1.2056748072306316,0.0177303949991862,0.23049712181091309
dinov2,FGVC-Aircraft,51.535151402155556,2.5902589162190757,2.190220355987549,0.6500661373138428,2.5302529335021973
resnet18,FGVC-Aircraft,27.872785925865173,1.1001110076904297,2.0502050717671714,-0.010000665982564291,0.9700973828633627
