encoder,dataset,required,probe_acc,s1_acc,s1_std,s1_delta,s1_delta_std,s2_acc,s2_std,s2_delta,s2_delta_std
resnet18,DTD,True,52.03900535901388,52.14538971583048,1.148656406802487,0.1063843568166097,0.2814646741552137,53.24468016624451,1.3860420823168094,1.2056748072306316,0.4131624842182501
dinov2,FGVC-Aircraft,True,51.535151402155556,54.125410318374634,1.1341784357918665,2.5902589162190757,1.0609065342085424,53.725371758143105,1.52701291326017,2.190220355987549,0.8854686144033647
resnet18,FGVC-Aircraft,False,27.872785925865173,28.972896933555603,0.7351253121058456,1.1001110076904297,1.0290345351373094,29.922990997632343,0.5957953761518284,2.0502050717671714,0.851435869289344
