encoder,dataset,s1_delta,s1_delta_std,s2_delta,s2_delta_std,best
resnet18,DTD,0.1063843568166097,0.2814646741552137,1.2056748072306316,0.4131624842182501,Strategy 2
dinov2,FGVC-Aircraft,2.5902589162190757,1.0609065342085424,2.190220355987549,0.8854686144033647,Strategy 1
resnet18,FGVC-Aircraft,1.1001110076904297,1.0290345351373094,2.0502050717671714,0.851435869289344,Strategy 2
