encoder,dataset,K,seed,T,method,test_acc
resnet18,DTD,10,2.0,4.0,rolled_out_fm,46.22340202331543
resnet18,DTD,10,2.0,12.0,rolled_out_fm,46.48936092853546
resnet18,DTD,full,0.0,4.0,rolled_out_fm,55.31914830207825
resnet18,DTD,full,0.0,12.0,rolled_out_fm,55.47872185707092
resnet18,DTD,full,1.0,4.0,rolled_out_fm,56.22340440750122
resnet18,DTD,full,1.0,12.0,rolled_out_fm,56.1170220375061
resnet18,DTD,full,2.0,4.0,rolled_out_fm,56.01063370704651
resnet18,DTD,full,2.0,12.0,rolled_out_fm,55.85106015205383
resnet18,FGVC-Aircraft,5,0.0,4.0,rolled_out_fm,15.87158590555191
resnet18,FGVC-Aircraft,5,0.0,12.0,rolled_out_fm,16.051603853702545
resnet18,FGVC-Aircraft,5,1.0,4.0,rolled_out_fm,16.921691596508026
resnet18,FGVC-Aircraft,5,1.0,12.0,rolled_out_fm,17.311730980873108
resnet18,FGVC-Aircraft,5,2.0,4.0,rolled_out_fm,17.521750926971436
resnet18,FGVC-Aircraft,5,2.0,12.0,rolled_out_fm,17.731772363185883
resnet18,FGVC-Aircraft,10,0.0,4.0,rolled_out_fm,20.82208096981049
resnet18,FGVC-Aircraft,10,0.0,12.0,rolled_out_fm,19.921991229057312
resnet18,FGVC-Aircraft,10,1.0,4.0,rolled_out_fm,20.432043075561523
resnet18,FGVC-Aircraft,10,1.0,12.0,rolled_out_fm,20.3720360994339
resnet18,FGVC-Aircraft,10,2.0,4.0,rolled_out_fm,19.77197676897049
resnet18,FGVC-Aircraft,10,2.0,12.0,rolled_out_fm,19.981996715068817
resnet18,FGVC-Aircraft,full,0.0,4.0,rolled_out_fm,26.13261342048645
resnet18,FGVC-Aircraft,full,0.0,12.0,rolled_out_fm,25.682568550109863
resnet18,FGVC-Aircraft,full,1.0,4.0,rolled_out_fm,27.06270515918732
resnet18,FGVC-Aircraft,full,1.0,12.0,rolled_out_fm,26.73267126083374
resnet18,FGVC-Aircraft,full,2.0,4.0,rolled_out_fm,23.73237162828445
resnet18,FGVC-Aircraft,full,2.0,12.0,rolled_out_fm,23.43234270811081
dinov2,FGVC-Aircraft,5,0.0,4.0,rolled_out_fm,34.1434121131897
dinov2,FGVC-Aircraft,5,0.0,12.0,rolled_out_fm,34.32343006134033
dinov2,FGVC-Aircraft,5,1.0,4.0,rolled_out_fm,34.71347093582153
dinov2,FGVC-Aircraft,5,1.0,12.0,rolled_out_fm,34.05340313911438
dinov2,FGVC-Aircraft,5,2.0,4.0,rolled_out_fm,33.54335427284241
dinov2,FGVC-Aircraft,5,2.0,12.0,rolled_out_fm,33.21332037448883
dinov2,FGVC-Aircraft,10,0.0,4.0,rolled_out_fm,45.39453685283661
dinov2,FGVC-Aircraft,10,0.0,12.0,rolled_out_fm,45.30452787876129
dinov2,FGVC-Aircraft,10,1.0,4.0,rolled_out_fm,46.53465151786804
dinov2,FGVC-Aircraft,10,1.0,12.0,rolled_out_fm,46.20461761951447
dinov2,FGVC-Aircraft,10,2.0,4.0,rolled_out_fm,44.34443414211273
dinov2,FGVC-Aircraft,10,2.0,12.0,rolled_out_fm,44.55445408821106
dinov2,FGVC-Aircraft,full,0.0,4.0,rolled_out_fm,52.445244789123535
dinov2,FGVC-Aircraft,full,0.0,12.0,rolled_out_fm,52.325230836868286
dinov2,FGVC-Aircraft,full,1.0,4.0,rolled_out_fm,52.68526673316956
dinov2,FGVC-Aircraft,full,1.0,12.0,rolled_out_fm,52.74527072906494
dinov2,FGVC-Aircraft,full,2.0,4.0,rolled_out_fm,51.00510120391846
dinov2,FGVC-Aircraft,full,2.0,12.0,rolled_out_fm,51.15511417388916
